transcription,conversation_no
Excuse me.,0
Do you have your forms?,0
Yeah.,0
Let me see them.,0
Is there a problem?,0
Who told you to get in this line?,0
You did.,0
You were standing at the beginning and you directed me.,0
Okay. But I didn't tell you to get in this line if you are filling out this particular form.,0
Well what's the problem?  Let me change it.,0
This form is a Z.X.four.,0
"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",0
What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,0
No. I need another set of ID to prove this is actually you.,0
How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,0
I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,0
I'm here to get an ID.,0
"No.  I need another ID, a separate one.",0
Like what?  Like a birth certificate?,0
"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",0
Who the hell has a birth certificate?,0
"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",0
"Yeah.  We keep it on file, but we need an ID to access that file.",0
That's out of control.,0
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,0
How long have you been working here?,0
Actually too long.,0
"Clearly.  You know, do you have like a supervisor or something?",0
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,0
That would - I would appreciate that.  Yeah.,0
Did you get the mail? So you saw my letter?,1
Yeah.,1
It's not fair.,1
Yeah.  I know.,1
"I don't understand.  You've already done so much, I don't know why do you have to go back.",1
I don't know.  I put in that. request too. They didn't...,1
"I guess, you know, everybody has to make sacrifices.",1
"I don't know, it's just not fair.  I think you've already made your sacrifice.",1
"There's people that have given more though, you know?",1
I just don't see how they can make you leave when you have a new baby - we have a new kid.,1
I know.,1
Then why is that fair?  Why--,1
"There's babies over there, though, that need mothers.",1
I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,1
"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",1
I'm just trying to think of another way.  I'm just trying to...,1
"Just, you know, kicking myself.",1
like you sign up because you need money and,1
things just aren't what they seem.,1
This is a stupid war.,1
"We're doing the right thing, though.",1
I know.,1
I just don't see why it has to be you.,1
"If not me then, who?",1
What am I going to do? Huh?,1
"You'll videotape everything, yeah?",1
Yeah.,1
"Maybe you can send it to me, like stream it, yeah?",1
Don't you guys have access to computers over there.,1
Last month--  Yeah.,1
I just don't know how I'm going to do it without you.,1
I have to find sitters.,1
I can't raise a baby by myself.  How?,1
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",1
I know.,1
And your mother is close by.,1
I'll send you lots of letters.,1
And I want lots and lots and lots of pictures.,1
It's just not fair.,1
So what's up?  What's new?,2
Well Vegas was awesome.,2
Yeah.  I heard.,2
"And, um, I got married.",2
Shut up.  No- in Vegas?,2
Yeah.  In the old town part.,2
Who did you marry?,2
Chuck. [LAUGHTER],2
Did you propose to you?,2
Um- Yes.  It was very romantic.,2
It was at the slot machines.,2
Oh.  The Wheel of Fortune slots?,2
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",2
He turned to you and was like...,2
Hey.  Let's get married and I said okay.,2
[LAUGHTER] That's really romantic.,2
"Yeah.  Well.  You know, because he's leaving the next day.",2
Yeah.,2
But we're going to have a honeymoon cruise.,2
"Does that mean that you're going to get citizenship, too, in- in England or whatever?",2
Oh.  I hadn't even thought about that.,2
Yeah.  Think about that.,2
"He's not going to be a citizen, though.",2
Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,2
I think you can.,2
Oh.  Totally.,2
Yeah. ,2
"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",2
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],2
Like you need another one of those.[LAUGHTER],2
I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,2
Is that your phone?,2
"Yeah, so [LAUGHTER] He's calling me now",2
He loves you.,2
"He likes to keep tabs, you know.",2
How much did he win at the slot?,2
"Uh, I think seven hundred and fifty dollars.",2
Really? Penny slots?,2
Penny slots. That's what he plays.,2
Wow.,2
Yeah.,2
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,2
Oh.,2
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,2
"But the pennies always get you because you end up spending like, you know, fifty bucks.",2
Fifty bucks. Mmhmm.,2
"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",2
Yeah.,2
Well so now we're married. We have cat children.,2
Awesome.,2
[LAUGHTER] Cat babies.,2
"We renamed Brenda, Lumber Janet.",2
That's fair enough.,2
She needs a new name each state that we go into. [LAUGHTER],2
"Have you tried, uh, Craig's List?",3
